pos_id,pos_name,client_name
54,La Botica de Martín,Farmacias RP
55,La Botica de Julián,Farmacias RP
56,Viamonte,Farmacias RP
57,Palermo I,Farmaplus
150,Almagro,Farmaplus
151,Palermo,Farmaplus
152,Microcentro,Farmaplus
153,Microcentro ||,Farmaplus
154,Tribunales,Farmaplus
155,Retiro |,Farmaplus
156,Retiro II,Farmaplus
157,Recoleta,Farmaplus
158,Las Cañitas,Farmaplus
159,Barrio Norte I,Farmaplus
160,Barrio Norte II,Farmaplus
161,Barrio Norte III,Farmaplus
162,Barrio Norte IV,Farmaplus
163,Nuñez,Farmaplus
164,Belgrano,Farmaplus
165,Belgrano I,Farmaplus
166,Belgrano II,Farmaplus
167,Belgrano III,Farmaplus
168,Belgrano R,Farmaplus
169,Caballito I,Farmaplus
170,Caballito II,Farmaplus
171,Caballito III,Farmaplus
172,Flores,Farmaplus
173,Villa del Parque,Farmaplus
174,Villa del Parque 2,Farmaplus
175,Devoto,Farmaplus
176,Villa Urquiza I,Farmaplus
177,Villa Urquiza II,Farmaplus
178,Villa Urquiza III,Farmaplus
179,Pompeya,Farmaplus
180,Beccar,Farmaplus
181,San Isidro I,Farmaplus
182,San Isidro II,Farmaplus
183,Berazategui I,Farmaplus
184,Berazategui II,Farmaplus
185,Quilmes,Farmaplus
186,Galerías Pacifico,Farmaplus
187,Abasto,Farmaplus
188,Parque Patricios,Farmaplus
58,Farmacia Añon,Farmacia Añon
59,Guerra,Estilo Salud
98,San Juan,Estilo Salud
99,Zimerman,Estilo Salud
100,Estudiantil,Estilo Salud
101,Farmazin,Estilo Salud
102,Libertad,Estilo Salud
106,Moyano,Estilo Salud
107,Aparicio,Estilo Salud
108,Posamay,Estilo Salud
109,Profesional,Estilo Salud
110,Caballero,Estilo Salud
80,Farmacia IARA,Farmacia IARA
81,Belgrano La Franco,La Franco
82,Palermo La Franco,La Franco
83,E-commerce La Franco,La Franco
84,M. Grimaldi,M. Grimaldi
85,Farmacia del Pueblo,Farmacia del Pueblo
300,Talar Salud,Farmacia del Pueblo
86,Farmacia Social Victorica,Farmacias Afinidad Social
87,Farmacia Social Moreno,Farmacias Afinidad Social
88,Costanera,Ipharm
97,Brisas de la costa,Ipharm
89,Farma Lanus,Zona Farma
123,La Paz,Zona Farma
124,Gispert,Zona Farma
125,Pasteur,Zona Farma
126,Segui,Zona Farma
90,Farmacia Caimmi,Caimmi
91,Farmacia Mancini,Mancini
92,Farmacia Cabildo,La Danesa
93,Farmacia Cramer,La Danesa
94,Farmacia Congreso,La Danesa
122,Farmacia Juramento,La Danesa
95,Farmacia Massaro,Massaro
96,Farmacia Farmamas,Massaro
103,Farmacia del Pueblo,Gigliotti
259,Antigua Gigliotti,Gigliotti
260,Farmacia Central,Gigliotti
261,Farmacia Teran,Gigliotti
104,Mundial Medicamentos,Mundial
105,Mundial Perfumería,Mundial
111,Euskal,Northpharm
112,Santa Bárbara,Northpharm
113,Larralde - Pintos,Más Farmacia
146,Pedraza,Más Farmacia
268,monroe,Más Farmacia
114,Martín Rodríguez,Martín Rodríguez
115,Nueva Farmacia Oro,Farmacias Oro
293,Farmacia Trinidad,Farmacias Oro
116,Boulevard,Farmilian
189,Fradusco,Farmilian
190,Libertad,Farmilian
191,Romied,Farmilian
192,San Martin,Farmilian
193,Arco,Farmilian
272,Campos,Farmilian
273,Provincia,Farmilian
1006,Casanova,Farmilian
117,Longchamps,Punto Salud
118,Ezeiza,Punto Salud
119,San Vicente,Punto Salud
120,Suarez,Punto Salud
121,Moreno,Punto Salud
127,Red,Punto Salud
128,Juncal,Punto Salud
129,Marmol,Punto Salud
130,Korn,Punto Salud
131,Express,Punto Salud
132,Monte,Punto Salud
133,Cañuelas,Punto Salud
134,Petit,Punto Salud
135,Franco,Punto Salud
136,Malvinas,Punto Salud
137,Avellaneda,Punto Salud
138,Canning,Punto Salud
139,Yañuk,Punto Salud
140,Antártida,Punto Salud
141,Pasco,Punto Salud
142,Twenty,Punto Salud
143,Estación Urquiza,Juan I Del Vigo
144,Yrigoyen,Santa Ana
595,Saavedra,Santa Ana
596,Florida,Santa Ana
597,Ecommerce,Santa Ana
766,Martelli,Santa Ana
145,Santa Catalina,Santa Catalina
147,Melella,Top Farma
148,Olivera,Top Farma
199,Soberania,Top Farma
200,Los Angeles,Top Farma
201,Luro,Top Farma
714,MI FARMA,Top Farma
194,Sinni,Sinni
195,San Luis,Siempre Farmacias
602,Del Centro,Siempre Farmacias
196,Crovetto,Comoga
197,Fabris,Fabris
198,Bedini,Bedini
202,Traverso,Traverso
203,Belgrano,Vassallo
204,Olivos,Vassallo
205,San Isidro,Vassallo
206,Villa del Parque,Vassallo
207,Juncal,Vassallo
208,Caballito,Vassallo
209,Dr Sabin,Dr Sabin
210,Verona,Verona
211,Recoleta,RP
217,Porteña,RP
218,Los Lirios,RP
219,Botánico,RP
212,Dameli,Dameli
213,Del Pueblo,Del Pueblo
2214,Del pueblo Perfumeria,Del Pueblo
214,Soper,Suiza
215,Rivadavia,Suiza
216,San Juan - Medicinal,Suiza
2219,San Juan - Perfumeria,Suiza
2325,Farmacia Suiza,Suiza
220,Farmacia Del Ferrocarril,Farmacia del Ferrocarril
577,Nueva Pascual,Farmacia del Ferrocarril
612,Nueva Libano,Farmacia del Ferrocarril
683,San Martín,Farmacia del Ferrocarril
684,Adelina Hue,Farmacia del Ferrocarril
685,Billinghurst,Farmacia del Ferrocarril
221,Superí,Grupo Superi
297,FarmaVital,Grupo Superi
222,Congreso,SEC
223,Flores,SEC
224,Peron,SEC
226,Independencia,SEC
225,Urquiza,Urquiza
227,La Boca,La Boca
228,Farmacia MB,Farmacia MB
229,Griveo,Nueva Social Fénix
230,Mosconi,Nueva Social Fénix
231,Menendez,América
232,Heredia,London
233,Sarmiento,London
234,Bustamante,London
235,Lacarra,London
236,GL Farma,London
237,Mones,London
238,Burzaco Sur,Burzaco Sur
239,Lacfarm,San Pablo
240,Acassuso,Acassuso
241,Oggi,Franco
242,Arfran,Franco
243,Francarm,Franco
244,Daneri,Daneri
245,Mafei,Daneri
246,Arieta,Vilela
247,Nuevo Milenio,Vilela
248,Plaza San Justo,Vilela
249,Shopping Catan,Vilela
250,La Plaza Central,Vilela
251,Estanislao,Vilela
252,Nueva Chenu,Vilela
253,Bodrum,Vilela
254,Nueva del Libertador,Vilela
255,Luque,Vilela
256,Empresas Farmaceuticas del Oeste,Vilela
269,Zera,Vilela
2329,Pasteur San Justo,Vilela
2964,Arieta Perfu,Vilela
2966,Bodrum - Perfu,Vilela
2967,E. Farmac del Oeste - Perfu,Vilela
2968,Estanislao - Perfu,Vilela
2969,La Plaza Central - Perfu,Vilela
2970,Luque - Perfu,Vilela
2971,Nueva Chenu - Perfu,Vilela
2972,Nueva del Lib - Perfu,Vilela
2973,Nuevo Milenio - Perfu,Vilela
2974,Pasteur San Justo - Perfu,Vilela
2975,Plaza San Justo - Perfu,Vilela
2976,Shopping Catan - Perfu,Vilela
2977,Zera - Perfu,Vilela
257,El Cazador,El Cazador
258,Juncal,Juncal
263,Traiber,Grupo Catan
349,San Carlos,Grupo Catan
350,Km 44,Grupo Catan
264,Farma 8,Farma VIP
265,Día y Noche,Grupo 24
266,Nuevo Puente,Grupo 24
267,Central Avellaneda,Central Avellaneda
270,Lope de Vega,Farma Belen
362,Alberdi,Farma Belen
363,Andaser,Farma Belen
364,Chilavert,Farma Belen
365,Cordero,Farma Belen
366,Corrales,Farma Belen
367,Guaminí,Farma Belen
368,Luro,Farma Belen
369,Murguiondo,Farma Belen
370,Riestra,Farma Belen
371,Saenz,Farma Belen
434,Belen 12,Farma Belen
435,Andaser,Farma Belen
1001,Vega 1000,Farma Belen
271,Victoria,Pelman
377,Punta Chica,Pelman
762,Victoria - Perfumería,Pelman
275,Gran Farmacia Constituyentes,Gran Farmacia Constituyentes
276,La Farma Textil,La Farma
311,Farma Del Sur,La Farma
359,Escalada,La Farma
360,25 de Mayo,La Farma
277,Angelus,Angelus
278,Dr Mihanovich,Dr Mihanovich
279,Olsina,FarmaTodo
280,Soria,FarmaTodo
1065,Las Lomas,FarmaTodo
1066,Maschwitz,FarmaTodo
1067,La Horqueta,FarmaTodo
1068,Martinez,FarmaTodo
281,Garbellini,Garbellini
282,Riadigos,Riadigos
283,Vital,Vital
284,Muñeira,Vital
286,San Francisco,FarmaGreen
474,San Cayetano,FarmaGreen
2034,San Miguel,FarmaGreen
287,J P Ramos,Previley
288,Serrat Pre,Previley
289,Cristi,Previley
290,Rama Pre,Previley
291,Flia Pre,Previley
2301,Previley Kai,Previley
292,Laprida,Laprida
294,Scienza,Scienza
295,Pellegrini,Scienza
296,Pueyrredon,Scienza
298,Guzgon,Pringles
299,Figueiras,Pringles
301,San Antonio,San Antonio
302,Patred,Patred
303,Marquez,Marquez
304,Baretta,Grupo Farma
305,Pilarfarma,Grupo Farma
306,Sanguinetti,Grupo Farma
307,Del Pueblo Express,Del Pueblo Express
308,Pieresko,Paradiñeiro
309,Del Paseo,Paradiñeiro
310,Sindical STMT,Sindicato Municipales Tandil
312,Feldman,Monica
313,Pierristegui,Pierrestegui
314,Behring,Behring
315,Moscovich,Moscovich
347,Guberman,Moscovich
348,Sunchales,Moscovich
316,Cattaneo,Cattaneo
317,FarmaConecta,FarmaConecta
318,Prueba POS,Cadena Prueba
319,Prueba POS 2,Cadena Prueba
320,Urbiztondo,Urbiztondo
321,Ugarte,Sandra Selma Farmacias
322,Walker,Sandra Selma Farmacias
323,Walker Digital,Sandra Selma Farmacias
324,Muscolini,Muscolini
325,Lanús,UOMAX
326,Moderna,UOMAX
327,Alsina,UOMAX
328,Escalada,UOMAX
329,Gerli,UOMAX
330,Avellaneda,UOMAX
331,Del Puente,UOMAX
332,Mitre,UOMAX
333,Bustamante,UOMAX
334,Delia,UOMAX
335,Gorriti,UOMAX
336,Temperley,UOMAX
337,Uomax Ace,UOMAX
338,Cloepharma,Cloepharma
339,Guemes,Guemes
340,Spiner,Spiner
341,La Doce,Grupo Caruso
573,Zorich,Grupo Caruso
804,La Doce - PERFUMERIA,Grupo Caruso
805,Zorich - PERFUMERIA,Grupo Caruso
2012,Farmacia Caruso,Grupo Caruso
2152,Farmacia Inglesa,Grupo Caruso
342,Barcala,Farmacia Barcala
343,JKS,JKS
344,CEC San Nicolás,CEC San Nicolás
345,La Trinidad,La Trinidad
346,Guberman,GUBERMAN
351,Pacheco Express,Farmacias Pacheco
352,Pacheco Norte,Farmacias Pacheco
353,General Pacheco,Farmacias Pacheco
383,Virreyes,Farmacias Pacheco
384,Unishop,Farmacias Pacheco
630,Las Marías,Farmacias Pacheco
354,Mourin,Punto Farma
355,De La Plaza,Punto Farma
356,Torres,Punto Farma
808,Botta,Punto Farma
809,Central,Punto Farma
810,Barrial,Punto Farma
811,Pompeo,Punto Farma
812,Roca,Punto Farma
816,Cabezuelo,Punto Farma
817,Marcos Avellaneda,Punto Farma
818,Escalada,Punto Farma
819,Quilmes,Punto Farma
820,Diamandy,Punto Farma
821,Pasteur Avellaneda,Punto Farma
822,Alsina,Punto Farma
823,Viamonte,Punto Farma
824,Beffa,Punto Farma
825,Prado,Punto Farma
826,Sbatella,Punto Farma
827,Itatí,Punto Farma
828,Chingolo,Punto Farma
829,Tuyuti,Punto Farma
830,Bio,Punto Farma
831,Warnes,Punto Farma
832,Monclus,Punto Farma
833,Pasteur de Burzaco,Punto Farma
834,Villa 31,Punto Farma
357,Aguilar,Aguilar
358,Lara,Lara
361,Lo Cascio,Lara
372,Said,Said
375,Nueva Fulchi,Fullfarma
860,Farmacia Ruta,Fullfarma
861,Farmacia Berlin,Fullfarma
862,FARMACIA FULLFARMA GLEW,Fullfarma
863,FARMACIA CENTRAL GUERNICA,Fullfarma
864,Farmacia central Numancia,Fullfarma
373,Central Munro,Central Munro
374,Kalauen,Kalauen
378,Farmacia Mubara,Farmacia Mubara
379,Hiperfarma,Farmanor
380,Galenica,Farmanor
381,San Andres 1,Farmanor
382,San Andres 2,Farmanor
385,Valemar,Valemar
386,Avenida,Avenida
387,Romo,Romo
388,Chiti,Romo
389,Ingeniero J. Allan,Farmanobel
416,Rincón de Hudson,Farmanobel
402,Farmacia Ruggeri,Farmacia Ruggeri
401,González,TKL González
403,Paternal,Anika
408,La Carlota,Mutual Oñativia
409,Córdoba,Mutual Oñativia
404,Gasparin,Gasparin
405,Sebastiani,Farmamix
406,Farmamix,Farmamix
407,Farmacia Lidia,Farmacia Lidia
410,La Esquina Norte,Rateriy
411,Farmacia Gelfiori,Farmacia Yañez s.c.s
412,Central La Plata,Central La Plata
413,Felini,Felini
414,Inglesa,Farmacia Inglesa
415,Farmacia del bosque,Farmacia del Bosque
417,Farmacia Salvatto,Espacios Salud
744,Farmacia Denevi,Espacios Salud
745,Farmacia Mitre,Espacios Salud
748,Farmacia San Jose,Espacios Salud
418,Vera,Vera
441,Cicala,Vera
419,Badia,Farmacia Badia
420,Farmacia Mariano,Stella Maris Benitez
421,Farmacia Benitez,Stella Maris Benitez
422,San Miguel,Farmacias Raspo
893,Derqui,Farmacias Raspo
894,Grand Bourg,Farmacias Raspo
895,Morón,Farmacias Raspo
896,Munro,Farmacias Raspo
897,San Martín,Farmacias Raspo
423,Moriconi,Moriconi
424,Farmacia Melffi,Melffi Maria Victoria
425,Farmajo,Farmajo
426,Farmacia Colon,Grupo Santa Maria
427,Farmacia Santa Maria,Grupo Santa Maria
560,Farmacia Santa Cruz,Grupo Santa Maria
429,Farmacia San Camilo I,Farmacia San Camilo
430,Farmacia Batan I,Asociación Mutual Balcarce
814,Farmacia Balcarce,Asociación Mutual Balcarce
431,Drogueria Minerva,Farmacias Minerva
450,Minerva,Farmacias Minerva
451,Central,Farmacias Minerva
452,Esquiu,Farmacias Minerva
453,Ocampo,Farmacias Minerva
454,Elena,Farmacias Minerva
455,San Martín,Farmacias Minerva
456,Del Valle,Farmacias Minerva
459,Del Paseo,Farmacias Minerva
461,9 de Julio,Farmacias Minerva
432,Farmacia Sabio,Farmacia Sabio
504,Lavalle,Farmasur
505,Sur,Farmasur
535,Aconcagua,Farmasur
536,Carrefour,Farmasur
433,Bosque Alvarez,Bosque Alvarez
436,San Cayetano,Grupo Farmagreen
437,Farmacia Sudiro,Isaias Liciotti
438,Farmacia Martinez,Farmacia Martínez
439,Alberdi,Proteger Salud
2041,Vantage Merlo,Proteger Salud
2042,Castelli,Proteger Salud
2043,Alvear,Proteger Salud
2044,Del Provincia,Proteger Salud
2132,Farmacia Del Pueblo,Proteger Salud
2157,Tucuman,Proteger Salud
2158,Altos de Moreno,Proteger Salud
2159,Axion Farma,Proteger Salud
2160,Catedral de Moreno,Proteger Salud
2161,Farmacia de la estacion,Proteger Salud
2170,Proteger Shop,Proteger Salud
2171,Farmacia Campos  de Alvarez,Proteger Salud
2172,Sucesion de Wilke Enrique Ricardo,Proteger Salud
2173,F del pueblo,Proteger Salud
440,Plaza,Farmacia del Pueblo Tucumán
457,America 5,Farmacia del Pueblo Tucumán
1052,Jujuy,Farmacia del Pueblo Tucumán
462,San Martin 1,Farmacia San Martin
463,San Martin 2,Farmacia San Martin
464,San Martin 3,Farmacia San Martin
465,San Martin 4,Farmacia San Martin
466,San Martin 5,Farmacia San Martin
467,San Martin 6,Farmacia San Martin
468,San Martin 8,Farmacia San Martin
469,Deposito,Farmacia San Martin
2299,San Martin 7,Farmacia San Martin
2300,San Martin 9,Farmacia San Martin
2354,Deposito Proveedores,Farmacia San Martin
442,Cicala,Cicala
443,Farmacia Babini,Farmacia Babini
444,Mónica Martínez  II,Farmacias Mónica Martínez
480,Silvana Martínez I,Farmacias Mónica Martínez
871,Monica Martinez I,Farmacias Mónica Martínez
872,Silvana Martinez II,Farmacias Mónica Martínez
445,Farmacia del Sud 1,Rafael Fernandez
446,Farmacia los Alamos 1,Rafael Fernandez
593,Ecofarma I,Ecofarma
447,Farmacia Parque,Farmacias Parque
448,Farmacia Parque II,Farmacias Parque
449,Farmacia Parque III,Farmacias Parque
458,Tartagal,Farmacias Avenida
472,Aguaray,Farmacias Avenida
473,Salvador Mazza,Farmacias Avenida
460,Farmacia Par,Fernando Echevarria
470,Farmacia Cuyo,Farmacia Cuyo
471,Farmacia Sindical Gandini,Asoc. Mutual Mercantil del Noroeste
475,Farmacia Gade,SUPER NUEVA COLON S.R.L.
482,Farmacia Gel,SUPER NUEVA COLON S.R.L.
476,De miguel,Mariano de Miguel Srl
477,Dr. Elustondo,Mariano de Miguel Srl
478,Sm Directorio,Farmacia Sm Directorio
479,Llanos 1,FARMACIA LLANOS S.C.S
487,Farmacia 105,FARMACIA LLANOS S.C.S
553,FARMACIA Barrio Norte,FARMACIA LLANOS S.C.S
481,Farmacia del Pilar,Farmacia del Pilar
483,Farmacia La Franco del Sur,Farmacia La Franco del Sur
511,12 de agosto,Farmacia La Franco del Sur
512,Aconcagua,Farmacia La Franco del Sur
514,Piedrabuena,Farmacia La Franco del Sur
516,Del Cerro,Farmacia La Franco del Sur
576,Farmaexpres,Farmacia La Franco del Sur
578,Farmaexpres Bark,Farmacia La Franco del Sur
484,Centro,Grupo San Martin
485,Kuanip,Grupo San Martin
486,Farmatotal Ushuaia,Grupo San Martin
751,Del Solier,Grupo San Martin
752,Perito Moreno,Grupo San Martin
753,Econofarma,Grupo San Martin
754,Farmatotal Tolhuin,Grupo San Martin
488,Dugraty,Farmacias Polini
489,9 JULIO,Farmacias Polini
490,25 de mayo,Farmacias Polini
491,Saenz Peña,Farmacias Polini
492,Charata,Farmacias Polini
493,Santa Sylvina,Farmacias Polini
494,F. Alvear Centro,Farmacias Alvear
495,Alvear Gauss,Farmacias Alvear
496,Alvear Valle Escondido,Farmacias Alvear
497,Alvear Calera,Farmacias Alvear
499,Alvear La Granja,Farmacias Alvear
500,Alvear Allende,Farmacias Alvear
498,Escobar,Farma 365
645,Maschwitz,Farma 365
898,Benavidez,Farma 365
899,Boulogne,Farma 365
900,Caballito,Farma 365
901,Flores,Farma 365
902,La Horqueta,Farma 365
903,Las Lomas,Farma 365
904,Loma Verde,Farma 365
905,Martinez,Farma 365
906,Saavedra,Farma 365
907,San Fernando,Farma 365
908,San Isidro,Farma 365
909,Vicente Lopez,Farma 365
910,Villa del parque,Farma 365
911,Villa del parque 2,Farma 365
912,Villa Urquiza,Farma 365
913,Zarate,Farma 365
914,Acassuso,Farma 365
3117,Maquinista savio,Farma 365
3118,Martinez 1,Farma 365
3119,Martinez 2,Farma 365
3120,Palermo 1,Farma 365
3121,Palermo 2,Farma 365
3122,Florida Oeste,Farma 365
501,Sucursal 39,Grupo Pizzolo
502,Allemma,Grupo Pizzolo
503,Farma Huinco,Grupo Pizzolo
506,Farmacia Filiberti,Farmacia Filiberti
519,Amusim 1,Mutual Amusim
520,Amusim 2,Mutual Amusim
521,Amusim 3,Mutual Amusim
522,Amusim 4,Mutual Amusim
523,Amusim 5,Mutual Amusim
524,Amusim 6,Mutual Amusim
525,Amusim 7,Mutual Amusim
526,Amusim 8,Mutual Amusim
507,Farmacia Reali,Farmacia Reali
508,Fátima,Farmafe
509,Cusatis,Farmafe
510,Hallein,Farmafe
518,Farmafe,Farmafe
513,Farmacia Nancy,Farmacia Nancy
515,Farmacia Longhi,Farmacia Longhi
517,Farmacia de la ruta,Farmacia de la ruta
527,Farmacia Tartarelli,Farmacia Tartarelli
528,Embon Alto Rosario Shopping,Farmacias Embon
529,Embon Entre Ríos,Farmacias Embon
530,Embon Pellegrini y Avellaneda,Farmacias Embon
531,Embon Rondeau,Farmacias Embon
532,Embon Pellegrini,Farmacias Embon
533,Embon San Martín,Farmacias Embon
534,Embon Tucuman,Farmacias Embon
537,1 Baigorria y General Paz,Farmacias Grassi
538,2 RC Constitucion 800,Farmacias Grassi
539,3 Grassi RC Constitucion 501,Farmacias Grassi
540,4 RC Banda Norte,Farmacias Grassi
541,5 RC Alberdi,Farmacias Grassi
543,6 Grassi RC Belgrano,Farmacias Grassi
544,8 C Moldes,Farmacias Grassi
546,9 C Alejandro Roca,Farmacias Grassi
547,10 SL Mercedes I,Farmacias Grassi
548,11 SL Mercedes II,Farmacias Grassi
549,13 C R Tercero,Farmacias Grassi
550,14 C Bv Chacabuco,Farmacias Grassi
580,7 CDD Grassi,Farmacias Grassi
581,7 CDD Grassi SubCuenta,Farmacias Grassi
542,Farmacia Aramburu,Farmacia Aramburu
545,Farmacias Salinas,Farmacia Salinas
551,Farmacia D´Andrea Coll,Farmacia D´Andrea Coll
552,Farmacia Rodriguez,Farmacia Rodriguez
554,Farmacia el Boticario,Farmacia el boticario
555,Farmacia Principal,Farmacia Principal
557,Farmacia Gomez Arrospide,Farmacia Gomez Arrospide
556,Naon Srl,Farmacia Naon
570,F. Quintana scs Medicamentos,Farmacias Quintana
571,F. Quintana srl Perfumeria,Farmacias Quintana
575,Farmacia Quintana 3,Farmacias Quintana
558,Farmacia Cardoso,Farmacia Cardoso
559,Farmacia Bwell,Bwell
561,Farmacia del Barrio,Farmacia Caltez
562,Farmacia del Cerro,Farmacia Caltez
563,Farmacia de la gente,Farmacia Caltez
564,Farmacia del Pueblo,Farmacia Caltez
565,Farmacia de la Ciudad,Farmacia Caltez
566,Farmacia Santo Remedio,Farmacia Caltez
567,Farmacia del Canadon,Farmacia Caltez
568,Perfurmeria Caltez,Farmacia Caltez
569,Farmacia Vega,Farmacia Vega
572,Farmacia Saenz,Farmacia Saenz
574,Farmacia Juana Koslay,Farmacia Juana Koslay
579,Daubian,Farmacia Daubian
582,Farmacia Señor de Renca,Farmacia Señor de Renca
583,Miguez,Farmacia Miguez
584,Farmacia Colon,farmacia colon
585,Farmacia La Boca,Farmacia La Boca
586,Sudamericana,Sudamericana
587,Farmacia Rojas,Farmacia Rojas
588,Farmacia Roma,Farmacia Roma
589,Farmatina,Farmatina
590,Farmatina 2,Farmatina
591,Farmacia tu Farmacia,Farmacia tu farmacia
592,Farmacia Salta,Farmacia tu farmacia
594,Farmacia Rois,Farmacia Rois
598,Av. Roca 1338,Estuardo Romero
599,La Pampa 1535,Estuardo Romero
600,Rivadavia,Líder
601,Eva Perón,Líder
603,Sv Farma 1,Sv Farma
604,Sv Farma 2,Sv Farma
617,Sv Farma 7,Sv Farma
618,Sv Farma 6,Sv Farma
619,Sv Farma 5,Sv Farma
620,Sv Farma 4,Sv Farma
621,Sv Farma 3,Sv Farma
2384,Sv Farma 8,Sv Farma
2385,Sv Farma 9,Sv Farma
2386,Sv Farma 10,Sv Farma
605,Farmacia Rivadavia,Farmacia Rivadavia
606,De Maria,Farmacia De Maria
607,Farmacia Dassie,Farmacia Dassie
608,Fatmacia Manantiales,Farmacia Manantiales
609,Sarmiento,Farmacia Dos de Enero
610,San Matías,Farmacia San Matías
611,Farmacia Nucci,Farmacia Nucci
613,Farmacia Vicentin,Farmacia Vicentin
614,Farmacia Italfarma Italiano,Farmacia Italfarma
615,Donato,Farmacia Donato
616,Ceschin,Ceschin
622,Farmacia Simonella,Farmacia Simonella
623,Perlo,Farmacia Perlo
624,Farmacia del Valle,Farmacia Del Valle
625,Farmacia Silva,Farmacia Silva
626,Farmacia Alfa,Farmacia Alfa
627,Farmacia Fiori,Farmacia Fiori
628,Farmacia Francisco,Farmacia Francisco
629,Farmacia Salvucci,Farmacia Salvucci
631,Farmacia Suiza,Farmacia Suiza
632,Tavi,Tavi
633,Farmacia Alaniz,Farmacia Alaniz
634,Radal,Farmacia Radal
635,Farmacia Innocente,Farmacia Innocente
636,OnLife,On Life
637,Farmacia Rosso Marcos,Farmacia Rosso Marcos
638,Farmacia Austral,Farmacia Austral
639,Farmabus,Farmabus
640,Farmacia Bucci,Farmacia  Bucci
641,Farmacia Garcia,Farmacia Garcia
642,Farmacia Pico,Farmacia Pico
643,Farmacia Gabutti,Farmacia Gabutti
644,Farmacia Derico,Farmacia Derico
646,Farmacia Central,Farmacia Central
647,Farmacia Paidon,Farmacia Paidon
648,Farmacia Schulman,Farmacia Schulman
