point_of_sale_id,client_id,super_catalog_id,descripción_x,order_id,order_date,droguería,unidades_pedidas,precio_minimo,valor_vendedor,geo_zone,vendor_id,descripción_y,name,base_price,percentage,precio_vendedor,precio_total_vendedor,status,valor_total_vendedor
1446,492,7503003406051,GASA ESTERILIZADA,363298,2025-10-22 23:54:04,11,3.0,13.39,40.17,Baja California,1309,GASA ESTERILIZADA 10X10CM QUIRMEX Caja - c/10,México,10.51,0.0,10.51,31.53,,31.53
2667,1447,7502216794993,HIDROCLOROTIAZIDA,363993,2025-10-24 01:25:36,11,3.0,10.28,30.84,Baja California,1358,HIDROCLOROTIAZIDA C/20 TABS. 25 MG.,México,10.2,0.0455,10.204640999999999,30.613922999999996,1.0,30.613922999999996
1446,492,729513130027,VENDA ELASTICA LE ROY,357154,2025-10-11 00:00:12,11,3.0,10.03,30.09,Baja California,1309,VENDA ELASTICA 5 CMS PREMIUM LEROY Bolsa - 1 Pieza,México,7.19,0.0,7.19,21.57,,21.57
2665,1447,7502209858022,HISTINA,363921,2025-10-23 23:14:03,20,2.0,7.33,14.66,Baja California,1150,HISTINA 10 TAB 10 MG,México,6.762,-0.05,6.7586189999999995,13.517237999999999,,13.517237999999999
1101,492,7501314705535,EVIPRESS,355121,2025-10-07 02:48:45,12,13.0,1233.33,16033.29,Baja California Sur,1156,EVIPRESS 30 TABS 10MG,México,1159.2,0.0,1159.2,15069.6,,15069.6
1101,492,7501050604123,ALMETEC,355100,2025-10-07 02:07:41,11,10.0,1282.9,12829.0,Baja California Sur,1156,ALMETEC  28 TABS 40MG,México,1222.51,0.0,1222.51,12225.1,,12225.1
1101,492,7501101600630,VAXTIFEN,355169,2025-10-07 03:29:30,11,14.0,865.46,12116.44,Baja California Sur,1156,VAXTIFEN 30 TAB 20 MG/160 MG,México,817.16,0.0,817.16,11440.24,,11440.24
1098,492,7503007822864,OZEMPIC,363293,2025-10-22 23:48:56,11,2.0,4944.98,9889.96,Baja California Sur,1153,OZEMPIC 1 MG SOL INY PLUMA C/4 AGUJAS,México,4800.0,0.0,4800.0,9600.0,1.0,9600.0
1101,492,7501033923234,NORFENON,355186,2025-10-07 04:00:29,10479,18.0,565.71,10182.78,Baja California Sur,1612,NORFENON 150MG C/30 TABS,México,531.5463,0.0417,531.7679548071,9571.8231865278,,9571.8231865278
1101,492,7501326004978,FOSAMAX PLUS,355128,2025-10-07 02:58:14,12,4.0,1973.11,7892.44,Baja California Sur,1156,FOSAMAX PLUS 4 TABS 70MG/5600,México,1916.35,0.0,1916.35,7665.4,,7665.4
1101,492,7730766000527,NAPICIL,355146,2025-10-07 03:13:04,11,6.0,1180.41,7082.46,Baja California Sur,1156,NAPICIL 40MG/10MG 30 CMP,México,1130.66,0.0,1130.66,6783.960000000001,,6783.960000000001
1101,492,7501070615277,DAFLON 500M,362761,2025-10-22 03:55:11,20,16.0,538.7,8619.2,Baja California Sur,1153,DAFLON 450 MG/ 50 MG C/20 TABS,México,420.0,0.0,420.0,6720.0,1.0,6720.0
1101,492,7501318655508,XARELTO,355169,2025-10-07 03:29:30,12,5.0,1567.27,7836.35,Baja California Sur,1156,XARELTO 14 COPM 15MG,México,1321.3,0.0,1321.3,6606.5,,6606.5
1097,492,7501299307595,QUIMARA 1,358153,2025-10-13 22:17:33,11,5.0,1266.26,6331.3,Baja California Sur,1156,QUIMARA-1 CREMA 50MG/GR 5MG,México,1239.37,0.0,1239.37,6196.849999999999,,6196.849999999999
1101,492,7501298222509,CONCOR AM,359705,2025-10-16 01:22:40,11,6.0,1342.89,8057.34,Baja California Sur,1156,CONCOR AM 5MG+5MG,México,882.74,0.0,882.74,5296.4400000000005,,5296.4400000000005
1101,492,7501037908671,SPIRIVA RESPIMAT,366368,2025-10-29 03:48:42,11,3.0,1823.19,5469.57,Baja California Sur,1156,SPIRIVA RESPIMAT 4ML,México,1558.1,0.0,1558.1,4674.299999999999,,4674.299999999999
1101,492,7501061002307,CALCORT,355107,2025-10-07 02:33:04,11,5.0,1044.76,5223.8,Baja California Sur,1156,CALCORT 10 TABS 30MG,México,934.84,0.0,934.84,4674.2,,4674.2
1101,492,7730766000510,NAPICIL,360356,2025-10-17 03:53:03,12,4.0,1180.41,4721.64,Baja California Sur,1156,NAPICIL 20MG/10MG 30 CMP,México,1130.66,0.0,1130.66,4522.64,,4522.64
1097,492,7501871720736,LERTUS CD,369091,2025-11-03 22:53:40,12,5.0,915.41,4577.05,Baja California Sur,1156,LERTUS CD 20COMPR 50/50MG *G2*,México,876.83,0.0,876.83,4384.150000000001,,4384.150000000001
1101,492,7501101600531,ACCIOGEN,355100,2025-10-07 02:07:41,12,19.0,230.02,4370.38,Baja California Sur,1156,ACCIOGEN 20 TABS 200 MG/500 MG,México,221.34,0.0,221.34,4205.46,,4205.46
1097,492,7730979097666,MYRBETRIC (MIRABEGRON) TAB 50MG C30,361890,2025-10-20 23:33:50,11,2.0,2114.87,4229.74,Baja California Sur,1156,MYRBETRIC 30 TABS 50MG,México,2094.34,0.0,2094.34,4188.68,,4188.68
1101,492,7501299330319,FOSFONAT,362737,2025-10-22 03:14:08,11,5.0,834.45,4172.25,Baja California Sur,1156,FOSFONAT 1 TAB 150MG,México,820.89,0.0,820.89,4104.45,,4104.45
1101,492,7501050617611,ALMETEC-CO,362727,2025-10-22 03:04:24,11,3.0,1389.42,4168.26,Baja California Sur,1156,ALMETEC-CO 28 COMP 40MG/12.5MG,México,1354.48,0.0,1354.48,4063.44,,4063.44
1101,492,7501037946185,MICARDIS,360337,2025-10-17 03:23:16,11,3.0,1441.57,4324.71,Baja California Sur,1156,MICARDIS 28 TABS 80MG,México,1345.99,0.0,1345.99,4037.9700000000003,,4037.9700000000003
1097,492,7730979097673,MYRBETRIC LIBEBARION PROLONGADA,354350,2025-10-04 22:48:52,11,2.0,2090.99,4181.98,Baja California Sur,1156,MYRBETRIC 30 TABS 25MG,México,2010.57,0.0,2010.57,4021.14,,4021.14
1101,492,7501037935196,TRAYENTA DUO,355159,2025-10-07 03:21:38,12,4.0,1149.07,4596.28,Baja California Sur,1156,TRAYENTA DUO 30 TABS 2.5/850MG,México,1000.64,0.0,1000.64,4002.56,,4002.56
1101,492,7501037935202,TRAYENTA DUO,362761,2025-10-22 03:55:11,12,4.0,1156.85,4627.4,Baja California Sur,1156,TRAYENTA DUO 30 TABS 2.5/1000M,México,1000.64,0.0,1000.64,4002.56,,4002.56
1101,492,8020030095076,ESOXX ONE BARRERA GASTRO,355186,2025-10-07 04:00:29,10269,8.0,509.52,4076.16,Baja California Sur,1156,ESOXX ONE 20 STICKS 10ML,México,494.49,0.0,494.49,3955.92,,3955.92
1097,492,7730979094092,ASOFLON LIBERACION PROLONGADA,360821,2025-10-17 23:35:26,12,3.0,1325.33,3975.99,Baja California Sur,1156,ASOFLON L.P. 30 CAPS 0.4 MG,México,1305.74,0.0,1305.74,3917.2200000000003,,3917.2200000000003
1101,492,7501124819224,ENTRESTO,355186,2025-10-07 04:00:29,10479,3.0,2278.1,6834.3,Baja California Sur,1612,ENTRESTO 100MG C/60,México,1294.056,0.0417,1294.595621352,3883.786864056,,3883.786864056
1101,492,7501101611209,GLIMETAL,366362,2025-10-29 03:37:35,11,3.0,1350.08,4050.24,Baja California Sur,1156,GLIMETAL 30 TABS 4/1000MG,México,1251.16,0.0,1251.16,3753.4800000000005,,3753.4800000000005
1101,492,7501037935189,TRAYENTA DUO,355186,2025-10-07 04:00:29,10479,2.0,1907.5,3815.0,Baja California Sur,1156,TRAYENTA DUO 60 TABS 2.5/850MG,México,1853.04,0.0,1853.04,3706.08,,3706.08
1097,492,7501326000994,HYZAAR,359563,2025-10-15 22:33:08,11,2.0,1929.56,3859.12,Baja California Sur,1156,HYZAAR 30 COMPR  100MG/25MG,México,1838.73,0.0,1838.73,3677.46,,3677.46
1101,492,7501871720941,COMENTER,362761,2025-10-22 03:55:11,12,2.0,1818.93,3637.86,Baja California Sur,1156,COMENTER 30 TABS 30MG,México,1742.27,0.0,1742.27,3484.54,,3484.54
1097,492,300090094119,TAFIL,359563,2025-10-15 22:33:08,11,3.0,1310.51,3931.53,Baja California Sur,1156,TAFIL 30 TABS 2MG*G2*,México,1137.6,0.0,1137.6,3412.7999999999997,,3412.7999999999997
1097,492,8903855060002,Q MIND,358153,2025-10-13 22:17:33,11,4.0,963.27,3853.08,Baja California Sur,1762,Q-MIND 100 MG 30 TAB,México,833.0,0.0,833.0,3332.0,,3332.0
1101,492,7501314703432,EXEL,366362,2025-10-29 03:37:35,11,6.0,628.68,3772.08,Baja California Sur,1156,EXEL 10 CAPS 15MG,México,552.0,0.0,552.0,3312.0,,3312.0
1098,492,7503007822901,RYBELSUS,359592,2025-10-15 22:49:41,11,1.0,3369.59,3369.59,Baja California Sur,1156,RYBELSUS 30 TABS 7 MG,México,3304.49,0.0,3304.49,3304.49,,3304.49
1101,492,7501037920161,MICARDIS DUO,362743,2025-10-22 03:23:28,11,2.0,1813.34,3626.68,Baja California Sur,1156,MICARDIS DUO 28 TABS 40/5MG,México,1648.88,0.0,1648.88,3297.76,,3297.76
1101,492,8020030091252,VESSEL DUE F,355169,2025-10-07 03:29:30,11,5.0,726.63,3633.15,Baja California Sur,1156,VESSEL DUE F 50 CAPS 250 LSU,México,659.45,0.0,659.45,3297.25,,3297.25
1097,492,7501037901030,ATROVENT,357133,2025-10-10 23:35:36,11,2.0,1945.0,3890.0,Baja California Sur,1156,ATROVENT AERO DOSIF 10ML,México,1619.35,0.0,1619.35,3238.7,,3238.7
1101,492,7501314705344,AFUNGIL,359705,2025-10-16 01:22:40,12,2.0,1699.41,3398.82,Baja California Sur,1156,AFUNGIL 10 CAPS 100MG,México,1600.8,0.0,1600.8,3201.6,,3201.6
1098,492,7501298216331,DENVAR,357142,2025-10-10 23:44:42,11,3.0,1420.48,4261.44,Baja California Sur,1156,DENVAR 10 CAPS 400MG*A,México,1059.35,0.0,1059.35,3178.0499999999997,,3178.0499999999997
1101,492,7501326001106,COZAAR,355107,2025-10-07 02:33:04,12,3.0,1093.94,3281.82,Baja California Sur,1156,COZAAR 30 GRAG 50MG,México,1042.43,0.0,1042.43,3127.29,,3127.29
1097,492,7503000883657,MINIRIN MELT,359563,2025-10-15 22:33:08,11,2.0,1721.84,3443.68,Baja California Sur,1156,MINIRIN MELT 30 TAB 120MCGE,México,1550.29,0.0,1550.29,3100.58,,3100.58
1097,492,7501050603829,NAXZALLA,369091,2025-11-03 22:53:40,11,2.0,1565.68,3131.36,Baja California Sur,1156,NAXZALLA 30TAB 10/20MG,México,1520.67,0.0,1520.67,3041.34,,3041.34
1097,492,7501298214375,DENVAR,357133,2025-10-10 23:35:36,12,5.0,1013.12,5065.6,Baja California Sur,1153,DENVAR 400 MG 6 CAPS,México,599.0,0.0,599.0,2995.0,1.0,2995.0
1101,492,7501409201102,LIVIAL,355146,2025-10-07 03:13:04,12,3.0,1032.25,3096.75,Baja California Sur,1156,LIVIAL 30 TABS  2.5 MG,México,983.64,0.0,983.64,2950.92,,2950.92
1101,492,7501033959936,CONTROLIP TRILIPIX,362761,2025-10-22 03:55:11,11,2.0,1457.11,2914.22,Baja California Sur,1156,CONTROLIP TRILI 30 CAPS 135MG,México,1426.96,0.0,1426.96,2853.92,,2853.92
1101,492,4260095681737,DILATREND,355107,2025-10-07 02:33:04,12,4.0,706.96,2827.84,Baja California Sur,1156,DILATREND 14 TABS 25MG,México,691.4,0.0,691.4,2765.6,,2765.6
1101,492,7501123002085,NOCOLODI,360356,2025-10-17 03:53:03,12,6.0,474.83,2848.98,Baja California Sur,1156,NOCOLODI 30 CAPS 160 MG,México,449.27,0.0,449.27,2695.62,,2695.62
1101,492,7501314701889,CIPROFLOX DM,359705,2025-10-16 01:22:40,11,4.0,702.36,2809.44,Baja California Sur,1156,CIPROFLOX DM 7 TABS 1GR*A,México,669.3,0.0,669.3,2677.2,,2677.2
1097,492,3700039500058,OESTROGEL,357133,2025-10-10 23:35:36,11,3.0,899.63,2698.89,Baja California Sur,1156,OESTROGEL TUBO 80GR,México,876.83,0.0,876.83,2630.4900000000002,,2630.4900000000002
1101,492,7501101602061,SENTAX,362755,2025-10-22 03:30:53,11,3.0,921.03,2763.09,Baja California Sur,1156,SENTAX 10 SOBRES 1000MG/10ML,México,866.76,0.0,866.76,2600.2799999999997,,2600.2799999999997
1097,492,8027950210473,ELICUIS,355739,2025-10-08 00:40:16,11,2.0,1672.5,3345.0,Baja California Sur,1153,ELICUIS 5 MG C/60 TABS,México,1284.5,0.0,1284.5,2569.0,1.0,2569.0
1101,492,7501101600005,TREZETE,355159,2025-10-07 03:21:38,11,2.0,1288.37,2576.74,Baja California Sur,1156,TREZETE 30 TABS 20/10MG,México,1275.96,0.0,1275.96,2551.92,,2551.92
1101,492,7501124819293,ENTRESTO,359133,2025-10-15 04:28:05,11,2.0,1319.4,2638.8,Baja California Sur,1156,ENTRESTO 30 COMPR 100MG,México,1269.41,0.0,1269.41,2538.82,,2538.82
1101,492,7501871720590,VARTALON COMPOSITUM,359139,2025-10-15 04:41:32,11,2.0,1331.09,2662.18,Baja California Sur,1156,VARTALON COMPOSIT PVO 30SOB  E,México,1262.93,0.0,1262.93,2525.86,,2525.86
1101,492,8903855078731,BIPITREK LIBERACION PROLONGADA,355100,2025-10-07 02:07:41,11,2.0,1293.98,2587.96,Baja California Sur,1156,BIPITREK 30 TABS 150MG,México,1254.32,0.0,1254.32,2508.64,,2508.64
1101,492,8903855059976,Q MIND,355159,2025-10-07 03:21:38,11,5.0,502.38,2511.9,Baja California Sur,1156,Q-MIND 28 TABS 25MG,México,494.5,0.0,494.5,2472.5,,2472.5
1097,492,7501124820213,ULTIBRO,359563,2025-10-15 22:33:08,11,2.0,1255.53,2511.06,Baja California Sur,1156,ULTIBRO BREEZHALER 30 CAP 50UG,México,1233.33,0.0,1233.33,2466.66,,2466.66
1101,492,7501165001695,AMARYL,355100,2025-10-07 02:07:41,11,5.0,503.84,2519.2,Baja California Sur,1156,AMARYL 15 TABS 2MG,México,485.49,0.0,485.49,2427.45,,2427.45
1101,492,7501050610704,DIPROSPAN HIPAK,359133,2025-10-15 04:28:05,11,4.0,615.04,2460.16,Baja California Sur,1156,DIPROSPAN HYPAK SUSP INY 1ML,México,586.08,0.0,586.08,2344.32,,2344.32
1101,492,7501326000772,HYZAAR,366362,2025-10-29 03:37:35,11,2.0,1198.34,2396.68,Baja California Sur,1156,HYZAAR 30 GRAG 50/12.5MG,México,1141.93,0.0,1141.93,2283.86,,2283.86
1101,492,7501165010628,TOUJEO,360356,2025-10-17 03:53:03,11,1.0,2433.96,2433.96,Baja California Sur,1156,TOUJEO SOL INY 3 PLUMA 1.5ML R,México,2257.03,0.0,2257.03,2257.03,,2257.03
1101,492,7501165000193,LASIX,355128,2025-10-07 02:58:14,11,9.0,253.51,2281.59,Baja California Sur,1156,LASIX 24 TABS 40MG,México,246.88,0.0,246.88,2221.92,,2221.92
1097,492,7501033958854,LUVOX,359563,2025-10-15 22:33:08,11,2.0,1125.42,2250.84,Baja California Sur,1156,LUVOX 15 TABS 100MG,México,1103.36,0.0,1103.36,2206.72,,2206.72
1101,492,7730979097697,DUBILA,359133,2025-10-15 04:28:05,11,3.0,761.21,2283.63,Baja California Sur,1156,DUBILA 28 TABS 5 MG,México,729.13,0.0,729.13,2187.39,,2187.39
1097,492,7501314705313,AFUNGIL,358153,2025-10-13 22:17:33,11,5.0,463.54,2317.7,Baja California Sur,1156,AFUNGIL 1 CAPS 150MG,México,434.7,0.0,434.7,2173.5,,2173.5
1097,492,7501871730339,NULYTELY CEREZA,357133,2025-10-10 23:35:36,11,3.0,752.17,2256.51,Baja California Sur,1156,NULYTELY POLVO 4 SOB CEREZA,México,721.59,0.0,721.59,2164.77,,2164.77
1098,492,7891317027506,KEFLEX,359592,2025-10-15 22:49:41,11,2.0,1200.56,2401.12,Baja California Sur,1156,KEFLEX 21 TABS 500MG*A,México,1074.15,0.0,1074.15,2148.3,,2148.3
1097,492,7501037908930,ATROVENT,359563,2025-10-15 22:33:08,11,2.0,1219.19,2438.38,Baja California Sur,1156,ATROVENT SOL 250MCG/20ML,México,1072.79,0.0,1072.79,2145.58,,2145.58
1101,492,7501098604529,ATACAND,355186,2025-10-07 04:00:29,10479,3.0,745.56,2236.68,Baja California Sur,1612,Atacand 16 Mg,México,705.2779,0.0417,705.5720008843,2116.7160026529,,2116.7160026529
1101,492,7501034630131,JARDIANZ DUO,359705,2025-10-16 01:22:40,12,2.0,1189.09,2378.18,Baja California Sur,1156,JARDIANZ DUO 30 TAB 12.5/850MG,México,1055.03,0.0,1055.03,2110.06,,2110.06
1101,492,7501101611049,BICARTIAL,359705,2025-10-16 01:22:40,12,2.0,1140.18,2280.36,Baja California Sur,1156,BICARTIAL 30 CAPS 2.5/50MG,México,1054.0,0.0,1054.0,2108.0,,2108.0
1101,492,7501328979601,XATRAL OD,360356,2025-10-17 03:53:03,11,1.0,2295.37,2295.37,Baja California Sur,1156,XATRAL OD 28 TABS,México,2106.22,0.0,2106.22,2106.22,,2106.22
1101,492,7501098633260,ATACAND PLUS,362719,2025-10-22 02:57:12,11,4.0,1011.71,4046.84,Baja California Sur,1612,ATACAND PLUS 16/12.5MG C/28 TABS,México,521.736,0.0417,521.9535639119999,2087.8142556479997,,2087.8142556479997
1097,492,7501123011711,FITOESTIMULINA (TRITICUM VULGARE/FENOXIETANOL) CREMA GASAS 0.06G/0.04G C10,361890,2025-10-20 23:33:50,12,4.0,674.92,2699.68,Baja California Sur,1762,FITOESTIMULINA 15/1GR GASAS C/10 *GRM*,México,517.889,0.0,517.889,2071.556,,2071.556
1101,492,7841141002712,ILTUX,355128,2025-10-07 02:58:14,11,2.0,1073.74,2147.48,Baja California Sur,1156,ILTUX 28 COMP 40MG,México,1032.44,0.0,1032.44,2064.88,,2064.88
1101,492,7501303451559,ANGELIQ,362761,2025-10-22 03:55:11,20,4.0,632.5,2530.0,Baja California Sur,1153,ANGELIQ 1 MG/2 MG C/28 CPR,México,509.0,0.0,509.0,2036.0,1.0,2036.0
1101,492,7501299306512,SENSITIB,355159,2025-10-07 03:21:38,11,8.0,257.29,2058.32,Baja California Sur,1156,SENSIBIT 20 TABS 10MG,México,251.76,0.0,251.76,2014.08,,2014.08
1101,492,7501037935172,TRAYENTA DUO,360356,2025-10-17 03:53:03,11,2.0,1129.99,2259.98,Baja California Sur,1156,TRAYENTA DUO 30 TABS 2.5/500MG,México,1000.64,0.0,1000.64,2001.28,,2001.28
1097,492,7501033921285,KLARICID OD,363285,2025-10-22 23:40:34,11,2.0,1024.56,2049.12,Baja California Sur,1156,KLARICID OD 10 TABS 500MG*A,México,994.72,0.0,994.72,1989.44,,1989.44
1097,492,7501390913855,LUNARIUM,358153,2025-10-13 22:17:33,11,2.0,1022.05,2044.1,Baja California Sur,1156,LUNARIUM 56 CAPS 100/300MG,México,975.1,0.0,975.1,1950.2,,1950.2
1101,492,7730979097635,VESICARE,355169,2025-10-07 03:29:30,11,2.0,992.28,1984.56,Baja California Sur,1156,VESICARE 20 TABS 5MG,México,972.82,0.0,972.82,1945.64,,1945.64
1101,492,7501070648022,TEMERIT,362755,2025-10-22 03:30:53,11,2.0,1007.16,2014.32,Baja California Sur,1156,TEMERIT 28 COMP 5MG,México,948.42,0.0,948.42,1896.84,,1896.84
1101,492,7501871720583,VARTALON,359139,2025-10-15 04:41:32,11,2.0,977.03,1954.06,Baja California Sur,1156,VARTALON GRANULADO 15 SOB,México,935.85,0.0,935.85,1871.7,,1871.7
1101,492,7501314701322,BIOMICS,355186,2025-10-07 04:00:29,11208,2.0,1057.57,2115.14,Baja California Sur,1156,BIOMICS 6 CAPS 400MG*A,México,931.5,0.0,931.5,1863.0,,1863.0
1101,492,7501314701612,BREDELIN,355107,2025-10-07 02:33:04,11,3.0,674.61,2023.83,Baja California Sur,1156,BREDELIN 7 TABS 500MG*A,México,621.0,0.0,621.0,1863.0,,1863.0
1097,492,7501027800060,SERETIDE DISKUS,368051,2025-10-31 23:09:46,11,2.0,1003.15,2006.3,Baja California Sur,1762,SERETIDE-DISK 50/500UG INHALADOR C/60 DOSIS *GLX*,México,928.2301,0.0,928.2301,1856.4602,,1856.4602
1097,492,7730979095914,FILARIN,359563,2025-10-15 22:33:08,11,2.0,967.93,1935.86,Baja California Sur,1156,FILARIN 3 COMP 100MG,México,927.14,0.0,927.14,1854.28,,1854.28
1101,492,7501037935219,TRAYENTA DUO,355159,2025-10-07 03:21:38,12,1.0,2134.03,2134.03,Baja California Sur,1156,TRAYENTA DUO 60 TABS 2.5/1000M,México,1853.04,0.0,1853.04,1853.04,,1853.04
1097,492,7501124820688,PATANOL,360821,2025-10-17 23:35:26,12,2.0,938.79,1877.58,Baja California Sur,1156,PATANOL SOL 0.1% 5ML,México,926.06,0.0,926.06,1852.12,,1852.12
1101,492,7501088507632,XUZAL,355169,2025-10-07 03:29:30,11,6.0,540.29,3241.74,Baja California Sur,1164,XUZAL 20 TAB 5MG,México,306.0824,0.0,306.0824,1836.4944,,1836.4944
1097,492,7501299301579,MACROZIT,354350,2025-10-04 22:48:52,11,5.0,372.4,1862.0,Baja California Sur,1156,MACROZIT G 4 TABS 500MG*A,México,364.24,0.0,364.24,1821.2,,1821.2
1101,492,7501201448088,OXYLIN,360356,2025-10-17 03:53:03,11,3.0,619.82,1859.46,Baja California Sur,1156,OXYLIN SOL 10ML,México,606.64,0.0,606.64,1819.92,,1819.92
1101,492,7501871730155,SUPRAHYAL,359705,2025-10-16 01:22:40,12,1.0,1900.5,1900.5,Baja California Sur,1156,SUPRAHYAL SOL INY 25MGE,México,1819.63,0.0,1819.63,1819.63,,1819.63
1101,492,7501088508288,VIRLIX,355169,2025-10-07 03:29:30,12,6.0,315.0,1890.0,Baja California Sur,1156,VIRLIX 10 TAB 10MG,México,301.44,0.0,301.44,1808.6399999999999,,1808.6399999999999
1097,492,7501088505928,AYTUGRE NS (FLUTICASONA) SUSP 50MCG 120D,361890,2025-10-20 23:33:50,12,5.0,389.02,1945.1,Baja California Sur,1156,AYTUGRE INHALADOR 120 DOSIS,México,361.1,0.0,361.1,1805.5,,1805.5
1101,492,7501314705641,FLUCOGREL,362737,2025-10-22 03:14:08,11,2.0,948.19,1896.38,Baja California Sur,1156,FLUCOGREL 28 TABS 75MG,México,897.0,0.0,897.0,1794.0,,1794.0
1101,492,7501088507120,ZYRTEC INFANTIL,359705,2025-10-16 01:22:40,12,3.0,609.09,1827.27,Baja California Sur,1612,ZYRTEC INF SOL 5MG/ML C/100 ML,México,584.448,0.0417,584.691714816,1754.0751444479997,,1754.0751444479997
1097,492,7501037910063,COMBIVENT UDV,363953,2025-10-23 23:51:08,11,3.0,609.93,1829.79,Baja California Sur,1156,COMBIVENT 10 AMPS 2.5ML,México,584.48,0.0,584.48,1753.44,,1753.44
1097,492,7501328978383,CORDARONE,358153,2025-10-13 22:17:33,11,3.0,642.79,1928.37,Baja California Sur,1156,CORDARONE 6 AMPS 150MG/3ML,México,583.63,0.0,583.63,1750.8899999999999,,1750.8899999999999
1101,492,7501298221397,NEUROBION OTC,355146,2025-10-07 03:13:04,12,6.0,295.46,1772.76,Baja California Sur,1156,NEUROBION 30 TABS,México,288.0,0.0,288.0,1728.0,,1728.0
1101,492,7501328979267,CO-APROVEL,359705,2025-10-16 01:22:40,11,2.0,1302.55,2605.1,Baja California Sur,1762,CO-APROVEL 150/12.5 MG 28 TAB,México,857.0,0.0,857.0,1714.0,1.0,1714.0
1101,492,7501109929368,INVOKANA DUO,355128,2025-10-07 02:58:14,11,1.0,1790.02,1790.02,Baja California Sur,1156,INVOKANA DUO 150/1000 MG 60 TA,México,1704.81,0.0,1704.81,1704.81,,1704.81
1097,492,7501070615321,DAFLON 1000 MG SANFER DIOSMINA/HESPERIDINA,359563,2025-10-15 22:33:08,11,2.0,1193.28,2386.56,Baja California Sur,1153,DAFLON 1000 900/100 MG C/30 TABS,México,850.0,0.0,850.0,1700.0,1.0,1700.0
1097,492,7501043162487,VENTOLIN,360821,2025-10-17 23:35:26,11,3.0,589.29,1767.87,Baja California Sur,1156,VENTOLIN SUSP AERO 18G 200DS,México,566.27,0.0,566.27,1698.81,,1698.81
1101,492,7501201400567,REFRESH TEARS,355159,2025-10-07 03:21:38,11,3.0,557.24,1671.72,Baja California Sur,1156,REFRESH TEARS SOL OFT 10ML,México,550.67,0.0,550.67,1652.0099999999998,,1652.0099999999998
